county_desc,precinct_code,precinct_name,candidate_name,candidate_party_lbl,cnt,num_votes
CUMBERLAND,G9B-2,HOPE MILLS 2B-G9,Dan McCready,DEM,5,1098
CUMBERLAND,G9B-2,HOPE MILLS 2B-G9,Jeff Scott,LIB,5,40
CUMBERLAND,G9B-2,HOPE MILLS 2B-G9,Mark Harris,REP,5,982
CUMBERLAND,ONE STOP A 1-20,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP A 1-20,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP A 1-20,NA,Mark Harris,REP,5,0
CUMBERLAND,ONE STOP A 21-45,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP A 21-45,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP A 21-45,NA,Mark Harris,REP,5,0
CUMBERLAND,ONE STOP B 1-20,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP B 1-20,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP B 1-20,NA,Mark Harris,REP,5,0
CUMBERLAND,ONE STOP B 21-45,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP B 21-45,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP B 21-45,NA,Mark Harris,REP,5,0
CUMBERLAND,ONE STOP C 1-20,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP C 1-20,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP C 1-20,NA,Mark Harris,REP,5,0
CUMBERLAND,ONE STOP C 21-45,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP C 21-45,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP C 21-45,NA,Mark Harris,REP,5,0
CUMBERLAND,ONE STOP D 1-20,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP D 1-20,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP D 1-20,NA,Mark Harris,REP,5,0
CUMBERLAND,ONE STOP D 21-45,NA,Dan McCready,DEM,5,0
CUMBERLAND,ONE STOP D 21-45,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ONE STOP D 21-45,NA,Mark Harris,REP,5,0
CUMBERLAND,PROVISIONAL 1-20,NA,Dan McCready,DEM,5,0
CUMBERLAND,PROVISIONAL 1-20,NA,Jeff Scott,LIB,5,0
CUMBERLAND,PROVISIONAL 1-20,NA,Mark Harris,REP,5,0
CUMBERLAND,PROVISIONAL 21-45,NA,Dan McCready,DEM,5,0
CUMBERLAND,PROVISIONAL 21-45,NA,Jeff Scott,LIB,5,0
CUMBERLAND,PROVISIONAL 21-45,NA,Mark Harris,REP,5,0
CUMBERLAND,SH77,SHERWOOD,Dan McCready,DEM,5,630
CUMBERLAND,SH77,SHERWOOD,Jeff Scott,LIB,5,22
CUMBERLAND,SH77,SHERWOOD,Mark Harris,REP,5,773
CUMBERLAND,TRANSFER 1-20,NA,Dan McCready,DEM,5,0
CUMBERLAND,TRANSFER 1-20,NA,Jeff Scott,LIB,5,0
CUMBERLAND,TRANSFER 1-20,NA,Mark Harris,REP,5,0
CUMBERLAND,TRANSFER 21-45,NA,Dan McCready,DEM,5,0
CUMBERLAND,TRANSFER 21-45,NA,Jeff Scott,LIB,5,0
CUMBERLAND,TRANSFER 21-45,NA,Mark Harris,REP,5,0
